row_index,mfg_part_num,part_desc,brand_e1,brand_unilog,brand_dib,part_manuf,placeholder_flags,coarse_category,is_dishwasher,classification_method
10,SHEM63W55N,SHEM63W55N Bosch 300 Series Dishwasher 46 dBA 120V 12A White,,,,Appliance Dealers Cooperative (APPDE),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Appliance Dealers Cooperative', '_distributor_code': 'APPDE', '_distributor_cluster': 'Appliance Dealers Cooperative'}",Appliances > Large Appliances > Dishwashers,True,rule-based-fallback
11,KDPE234GPS,KDPE234GPS KitchenAid 39 dBA Dishwasher FreeFlex Stainless Steel,,,,Fastenal Company,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Fastenal Company', '_distributor_code': None, '_distributor_cluster': 'Fastenal Company'}",Appliances > Large Appliances > Dishwashers,True,rule-based-fallback
12,G7106SCVi,G7106SCVi Miele Fully Integrated Dishwasher 42 dBA 120V 15A Panel Ready,,,,Grainger Industrial Supply,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Grainger Industrial Supply', '_distributor_code': None, '_distributor_cluster': 'Grainger Industrial Supply'}",Appliances > Large Appliances > Dishwashers,True,rule-based-fallback
13,WDF520PADM,WDF520PADM Whirlpool Front Control Dishwasher 55 dBA 120V 12A White,,,,Jam Industrial Supply LLC (JAMIN),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Jam Industrial Supply LLC', '_distributor_code': 'JAMIN', '_distributor_cluster': 'Jam Industrial Supply LLC'}",Appliances > Large Appliances > Dishwashers,True,rule-based-fallback
14,PDT785SBNTS,PDT785SBNTS GE Profile Dishwasher 47 dBA 120V 15A Black Stainless Steel,,,,Appliance Dealers Cooperative (APPDE),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Appliance Dealers Cooperative', '_distributor_code': 'APPDE', '_distributor_cluster': 'Appliance Dealers Cooperative'}",Appliances > Large Appliances > Dishwashers,True,rule-based-fallback
15,3MABR-7100033445,3M 775L Stikit Film P100 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Jam Industrial Supply LLC', '_distributor_code': 'JAMIN', '_distributor_cluster': 'Jam Industrial Supply LLC'}",Uncategorized,False,rule-based-fallback
16,3MABR-7100077889,3M Trizact Cloth Belt P220 - 3x24 In 10pc,,,,Jam Industrial Supply LLC (JAMIN),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Jam Industrial Supply LLC', '_distributor_code': 'JAMIN', '_distributor_cluster': 'Jam Industrial Supply LLC'}",Uncategorized,False,rule-based-fallback
17,LEDPAR30-8811,LED PAR30 Short Neck Flood Light Bulb 11W 4000K,,,,Freud Inc (2435),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Freud Inc', '_distributor_code': '2435', '_distributor_cluster': 'Freud Inc'}",Lighting,False,rule-based-fallback
18,LEDA19-7722,LED A19 General Purpose Bulb 9W 2700K Dimmable,,,,Freud Inc (2435),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Freud Inc', '_distributor_code': '2435', '_distributor_cluster': 'Freud Inc'}",Lighting,False,rule-based-fallback
19,HTOOL-88231,Adjustable Wrench 10 Inch Chrome Vanadium Steel,,,,Appliance Dealers Cooperative (APPDE),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Appliance Dealers Cooperative', '_distributor_code': 'APPDE', '_distributor_cluster': 'Appliance Dealers Cooperative'}",Hand Tools,False,rule-based-fallback
20,HTOOL-88232,Claw Hammer 16oz Fiberglass Handle,,,,Grainger Industrial Supply,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Grainger Industrial Supply', '_distributor_code': None, '_distributor_cluster': 'Grainger Industrial Supply'}",Hand Tools,False,rule-based-fallback
21,PTOOL-77401,Cordless Impact Driver 18V Kit with Battery and Charger,,,,Fastenal Company,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Fastenal Company', '_distributor_code': None, '_distributor_cluster': 'Fastenal Company'}",Power Tools,False,rule-based-fallback
22,PTOOL-77402,Angle Grinder 4.5 Inch Corded 7.5 Amp,,,,MSC Industrial Supply,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'MSC Industrial Supply', '_distributor_code': None, '_distributor_cluster': 'Jam Industrial Supply LLC'}",Abrasives,False,rule-based-fallback
23,ELEC-55501,Wire Nuts Assorted Sizes 100pc Box,,,,Jam Industrial Supply LLC (JAMIN),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Jam Industrial Supply LLC', '_distributor_code': 'JAMIN', '_distributor_cluster': 'Jam Industrial Supply LLC'}",Electrical,False,rule-based-fallback
24,ELEC-55502,GFCI Outlet 15A 125V Tamper Resistant White,,,,Grainger Industrial Supply,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Grainger Industrial Supply', '_distributor_code': None, '_distributor_cluster': 'Grainger Industrial Supply'}",Electrical,False,rule-based-fallback
25,SAFE-33301,Safety Glasses Clear Anti-Fog Lens ANSI Z87.1,,,,Fastenal Company,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Fastenal Company', '_distributor_code': None, '_distributor_cluster': 'Fastenal Company'}",Uncategorized,False,rule-based-fallback
26,SAFE-33302,Nitrile Disposable Gloves Powder Free Large 100ct,,,,MSC Industrial Supply,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'MSC Industrial Supply', '_distributor_code': None, '_distributor_cluster': 'Jam Industrial Supply LLC'}",Uncategorized,False,rule-based-fallback
27,HVAC-22201,Programmable Thermostat 7-Day Digital Display,,,,Appliance Dealers Cooperative (APPDE),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Appliance Dealers Cooperative', '_distributor_code': 'APPDE', '_distributor_cluster': 'Appliance Dealers Cooperative'}",HVAC,False,rule-based-fallback
28,HVAC-22202,Furnace Filter 16x25x1 MERV 11 Pleated,,,,Grainger Industrial Supply,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Grainger Industrial Supply', '_distributor_code': None, '_distributor_cluster': 'Grainger Industrial Supply'}",HVAC,False,rule-based-fallback
29,PLUMB-11101,PVC Ball Valve 1 Inch Threaded,,,,Jam Industrial Supply LLC (JAMIN),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Jam Industrial Supply LLC', '_distributor_code': 'JAMIN', '_distributor_cluster': 'Jam Industrial Supply LLC'}",Plumbing,False,rule-based-fallback
30,PLUMB-11102,Braided Stainless Steel Supply Line 20 Inch,,,,MSC Industrial Supply,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'MSC Industrial Supply', '_distributor_code': None, '_distributor_cluster': 'Jam Industrial Supply LLC'}",Uncategorized,False,rule-based-fallback
31,FAST-99901,Hex Head Cap Screw 1/4-20 x 1 Inch Zinc 100pc,,,,Fastenal Company,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Fastenal Company', '_distributor_code': None, '_distributor_cluster': 'Fastenal Company'}",Fasteners,False,rule-based-fallback
32,FAST-99902,Self Tapping Sheet Metal Screw #8 x 1/2 In 200pc,,,,Fastenal Company,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Fastenal Company', '_distributor_code': None, '_distributor_cluster': 'Fastenal Company'}",Fasteners,False,rule-based-fallback
33,ADH-66601,Construction Adhesive Liquid Nails 10oz Tube,,,,Grainger Industrial Supply,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Grainger Industrial Supply', '_distributor_code': None, '_distributor_cluster': 'Grainger Industrial Supply'}",Adhesives & Sealants,False,rule-based-fallback
34,ADH-66602,Silicone Sealant Clear 10.1oz Cartridge,,,,Grainger Industrial Supply,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Grainger Industrial Supply', '_distributor_code': None, '_distributor_cluster': 'Grainger Industrial Supply'}",Adhesives & Sealants,False,rule-based-fallback
35,LGHT-44401,4ft LED Shop Light Fixture 4000K 40W,,,,Freud Inc (2435),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Freud Inc', '_distributor_code': '2435', '_distributor_cluster': 'Freud Inc'}",Lighting,False,rule-based-fallback
36,LGHT-44402,Motion Sensor Outdoor Wall Light Bronze Finish,,,,Freud Inc (2435),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Freud Inc', '_distributor_code': '2435', '_distributor_cluster': 'Freud Inc'}",Uncategorized,False,rule-based-fallback
37,ABR-33305,Sanding Sponge Medium Grit 3pc Pack,,,,Jam Industrial Supply LLC (JAMIN),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Jam Industrial Supply LLC', '_distributor_code': 'JAMIN', '_distributor_cluster': 'Jam Industrial Supply LLC'}",Abrasives,False,rule-based-fallback
38,ABR-33306,Wire Wheel Brush 4 Inch for Bench Grinder,,,,Jam Industrial Supply LLC (JAMIN),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Jam Industrial Supply LLC', '_distributor_code': 'JAMIN', '_distributor_cluster': 'Jam Industrial Supply LLC'}",Abrasives,False,rule-based-fallback
39,HTOOL-88233,Tape Measure 25ft Steel Blade Magnetic Tip,,,,Appliance Dealers Cooperative (APPDE),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Appliance Dealers Cooperative', '_distributor_code': 'APPDE', '_distributor_cluster': 'Appliance Dealers Cooperative'}",Hand Tools,False,rule-based-fallback
40,PTOOL-77403,Reciprocating Saw Corded 12 Amp with Blade,,,,Fastenal Company,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Fastenal Company', '_distributor_code': None, '_distributor_cluster': 'Fastenal Company'}",Hand Tools,False,rule-based-fallback
